step,ep_return,ep_len,value_loss,policy_loss,entropy,approx_kl,clipfrac
39,39.0,39,,,,,
50,11.0,11,,,,,
87,37.0,37,,,,,
136,49.0,49,,,,,
153,17.0,17,,,,,
173,20.0,20,,,,,
208,35.0,35,,,,,
225,17.0,17,,,,,
249,24.0,24,,,,,
361,112.0,112,,,,,
390,29.0,29,,,,,
414,24.0,24,,,,,
448,34.0,34,,,,,
508,60.0,60,,,,,
591,83.0,83,,,,,
606,15.0,15,,,,,
636,30.0,30,,,,,
698,62.0,62,,,,,
730,32.0,32,,,,,
745,15.0,15,,,,,
774,29.0,29,,,,,
883,109.0,109,,,,,
965,82.0,82,,,,,
995,30.0,30,,,,,
1028,33.0,33,,,,,
1048,20.0,20,,,,,
1063,15.0,15,,,,,
1080,17.0,17,,,,,
1092,12.0,12,,,,,
1123,31.0,31,,,,,
1134,11.0,11,,,,,
1150,16.0,16,,,,,
1166,16.0,16,,,,,
1220,54.0,54,,,,,
1268,48.0,48,,,,,
1277,9.0,9,,,,,
1328,51.0,51,,,,,
1339,11.0,11,,,,,
1353,14.0,14,,,,,
1383,30.0,30,,,,,
1396,13.0,13,,,,,
1515,119.0,119,,,,,
1534,19.0,19,,,,,
1569,35.0,35,,,,,
1643,74.0,74,,,,,
1659,16.0,16,,,,,
1697,38.0,38,,,,,
1757,60.0,60,,,,,
1784,27.0,27,,,,,
1804,20.0,20,,,,,
1831,27.0,27,,,,,
1881,50.0,50,,,,,
1898,17.0,17,,,,,
1923,25.0,25,,,,,
1947,24.0,24,,,,,
1972,25.0,25,,,,,
2048,,,116.66947937011719,-11.03921890258789,0.6432891488075256,0.017614688724279404,0.30859375
2091,119.0,119,,,,,
2150,59.0,59,,,,,
2238,88.0,88,,,,,
2320,82.0,82,,,,,
2373,53.0,53,,,,,
2518,145.0,145,,,,,
2585,67.0,67,,,,,
2713,128.0,128,,,,,
2746,33.0,33,,,,,
2811,65.0,65,,,,,
2856,45.0,45,,,,,
2882,26.0,26,,,,,
2927,45.0,45,,,,,
3032,105.0,105,,,,,
3146,114.0,114,,,,,
3183,37.0,37,,,,,
3288,105.0,105,,,,,
3402,114.0,114,,,,,
3516,114.0,114,,,,,
3552,36.0,36,,,,,
3561,9.0,9,,,,,
3576,15.0,15,,,,,
3613,37.0,37,,,,,
3671,58.0,58,,,,,
3747,76.0,76,,,,,
3774,27.0,27,,,,,
3805,31.0,31,,,,,
3835,30.0,30,,,,,
3888,53.0,53,,,,,
4012,124.0,124,,,,,
4045,33.0,33,,,,,
4096,,,154.82424926757812,-13.215434074401855,0.5881537199020386,0.01839323528110981,0.23828125
4204,159.0,159,,,,,
4445,241.0,241,,,,,
4664,219.0,219,,,,,
4806,142.0,142,,,,,
4899,93.0,93,,,,,
5252,353.0,353,,,,,
5425,173.0,173,,,,,
5543,118.0,118,,,,,
5660,117.0,117,,,,,
5756,96.0,96,,,,,
5937,181.0,181,,,,,
5952,15.0,15,,,,,
6144,,,164.4591827392578,-14.739577293395996,0.5793634653091431,0.006919364910572767,0.08984375
6145,193.0,193,,,,,
6384,239.0,239,,,,,
6515,131.0,131,,,,,
6693,178.0,178,,,,,
6886,193.0,193,,,,,
7031,145.0,145,,,,,
7207,176.0,176,,,,,
7374,167.0,167,,,,,
7638,264.0,264,,,,,
7883,245.0,245,,,,,
8152,269.0,269,,,,,
8192,,,141.23394775390625,-14.454687118530273,0.5864747762680054,0.008105454966425896,0.0859375
8374,222.0,222,,,,,
8674,300.0,300,,,,,
8868,194.0,194,,,,,
9007,139.0,139,,,,,
9211,204.0,204,,,,,
9390,179.0,179,,,,,
9644,254.0,254,,,,,
9787,143.0,143,,,,,
9879,92.0,92,,,,,
10025,146.0,146,,,,,
10220,195.0,195,,,,,
10240,,,102.49296569824219,-13.794734954833984,0.6189559698104858,0.0060852281749248505,0.0703125
10327,107.0,107,,,,,
10621,294.0,294,,,,,
10672,51.0,51,,,,,
10777,105.0,105,,,,,
11012,235.0,235,,,,,
11236,224.0,224,,,,,
11435,199.0,199,,,,,
11474,39.0,39,,,,,
11511,37.0,37,,,,,
11816,305.0,305,,,,,
11983,167.0,167,,,,,
12080,97.0,97,,,,,
12158,78.0,78,,,,,
12246,88.0,88,,,,,
12288,,,85.56979370117188,-12.091195106506348,0.6296223998069763,0.004440625198185444,0.04296875
12483,237.0,237,,,,,
12518,35.0,35,,,,,
12655,137.0,137,,,,,
12709,54.0,54,,,,,
12915,206.0,206,,,,,
12952,37.0,37,,,,,
13127,175.0,175,,,,,
13168,41.0,41,,,,,
13435,267.0,267,,,,,
13754,319.0,319,,,,,
13993,239.0,239,,,,,
14072,79.0,79,,,,,
14107,35.0,35,,,,,
14336,,,78.63980865478516,-11.235346794128418,0.6465331315994263,0.006998726632446051,0.0859375
14350,243.0,243,,,,,
14521,171.0,171,,,,,
14593,72.0,72,,,,,
14668,75.0,75,,,,,
14820,152.0,152,,,,,
14833,13.0,13,,,,,
14876,43.0,43,,,,,
14997,121.0,121,,,,,
15080,83.0,83,,,,,
15107,27.0,27,,,,,
15364,257.0,257,,,,,
15499,135.0,135,,,,,
15663,164.0,164,,,,,
15792,129.0,129,,,,,
15813,21.0,21,,,,,
15936,123.0,123,,,,,
16159,223.0,223,,,,,
16188,29.0,29,,,,,
16227,39.0,39,,,,,
16334,107.0,107,,,,,
16357,23.0,23,,,,,
16384,,,64.60516357421875,-9.020965576171875,0.6532063484191895,0.011553596705198288,0.125
16429,72.0,72,,,,,
16450,21.0,21,,,,,
16474,24.0,24,,,,,
16621,147.0,147,,,,,
16647,26.0,26,,,,,
16720,73.0,73,,,,,
16749,29.0,29,,,,,
16809,60.0,60,,,,,
16832,23.0,23,,,,,
16875,43.0,43,,,,,
16891,16.0,16,,,,,
16975,84.0,84,,,,,
17011,36.0,36,,,,,
17045,34.0,34,,,,,
17098,53.0,53,,,,,
17120,22.0,22,,,,,
17137,17.0,17,,,,,
17325,188.0,188,,,,,
17363,38.0,38,,,,,
17460,97.0,97,,,,,
17517,57.0,57,,,,,
17530,13.0,13,,,,,
17547,17.0,17,,,,,
17586,39.0,39,,,,,
17636,50.0,50,,,,,
17681,45.0,45,,,,,
17755,74.0,74,,,,,
17862,107.0,107,,,,,
17915,53.0,53,,,,,
18029,114.0,114,,,,,
18071,42.0,42,,,,,
18098,27.0,27,,,,,
18160,62.0,62,,,,,
18273,113.0,113,,,,,
18432,,,65.59202575683594,-4.781435012817383,0.5538836717605591,0.09668572247028351,0.296875
18540,267.0,267,,,,,
18720,180.0,180,,,,,
18912,192.0,192,,,,,
19070,158.0,158,,,,,
19146,76.0,76,,,,,
19411,265.0,265,,,,,
19816,405.0,405,,,,,
